Метрика,Значение
Количество вакансий,49
"Максимальная стоимость ""От"" (руб)",2160000
Название вакансии (макс. От),Администратор/заместитель директора
"Максимальная стоимость ""До"" (руб)",1530000.0
Название вакансии (макс. До),"Администратор торгового зала (Москва, Россошанский, 3)"
"Минимальная стоимость ""От"" (руб)",756000
Название вакансии (мин. От),"Администратор торгового зала (Пермь, Уральская, 85)"
"Минимальная стоимость ""До"" (руб)",846000.0
Название вакансии (мин. До),"Администратор торгового зала (Пермь, Уральская, 85)"
"Стоимость ""От"" (количество)",49
"Стоимость ""До"" (количество)",23
"Стоимость ""От"" (среднее)",1447200
"Стоимость ""До"" (среднее)",1222121
"Стоимость ""От"" (стандартное отклонение)",340416
"Стоимость ""До"" (стандартное отклонение)",167038
"Стоимость ""От"" (минимум)",756000
"Стоимость ""До"" (минимум)",846000
"Стоимость ""От"" (максимум)",2160000
"Стоимость ""До"" (максимум)",1530000
Минимальная стоимость (среднее),801000
Максимальная стоимость (среднее),2160000
Средняя стоимость по всем вакансиям,1465934
Медианная стоимость по всем вакансиям,1447200
