Метрика,Значение
Количество вакансий,89
"Максимальная стоимость ""От"" (руб)",2482704
Название вакансии (макс. От),Водитель электроштабелёра
"Максимальная стоимость ""До"" (руб)",4137840.0
Название вакансии (макс. До),Водитель электроштабелёра
"Минимальная стоимость ""От"" (руб)",1123200
Название вакансии (мин. От),Водитель электропогрузчика
"Минимальная стоимость ""До"" (руб)",1123200.0
Название вакансии (мин. До),Водитель электропогрузчика
"Стоимость ""От"" (количество)",89
"Стоимость ""До"" (количество)",87
"Стоимость ""От"" (среднее)",2143880
"Стоимость ""До"" (среднее)",3563577
"Стоимость ""От"" (стандартное отклонение)",211191
"Стоимость ""До"" (стандартное отклонение)",458751
"Стоимость ""От"" (минимум)",1123200
"Стоимость ""До"" (минимум)",1123200
"Стоимость ""От"" (максимум)",2482704
"Стоимость ""До"" (максимум)",4137840
Минимальная стоимость (среднее),1123200
Максимальная стоимость (среднее),3310272
Средняя стоимость по всем вакансиям,2833913
Медианная стоимость по всем вакансиям,2880000
