Метрика,Значение
Количество вакансий,98
"Максимальная стоимость ""От"" (руб)",4140000.0
Название вакансии (макс. От),Директор супермаркета
"Максимальная стоимость ""До"" (руб)",5400000.0
Название вакансии (макс. До),Директор супермаркета
"Минимальная стоимость ""От"" (руб)",1170000.0
Название вакансии (мин. От),Заместитель директора магазина
"Минимальная стоимость ""До"" (руб)",1620000.0
Название вакансии (мин. До),Лидер торгового зала (заместитель директора)
"Стоимость ""От"" (количество)",92
"Стоимость ""До"" (количество)",17
"Стоимость ""От"" (среднее)",1953003
"Стоимость ""До"" (среднее)",2373882
"Стоимость ""От"" (стандартное отклонение)",520542
"Стоимость ""До"" (стандартное отклонение)",1028520
"Стоимость ""От"" (минимум)",1170000
"Стоимость ""До"" (минимум)",1620000
"Стоимость ""От"" (максимум)",4140000
"Стоимость ""До"" (максимум)",5400000
Минимальная стоимость (среднее),1170000
Максимальная стоимость (среднее),4140000
Средняя стоимость по всем вакансиям,2018351
Медианная стоимость по всем вакансиям,1890000
