Метрика,Значение
Количество вакансий,101
"Максимальная стоимость ""От"" (руб)",1571400
Название вакансии (макс. От),"Кавист (продавец-консультант вина) (Королёв, Космонавтов, 12А)"
"Максимальная стоимость ""До"" (руб)",1800000.0
Название вакансии (макс. До),"Кавист (продавец-консультант вина) (Москва, Коммунарка, Александры Монаховой, 30)"
"Минимальная стоимость ""От"" (руб)",612000
Название вакансии (мин. От),"Кавист (продавец-консультант вина) (Тольятти, Спортивная, 4В)"
"Минимальная стоимость ""До"" (руб)",729000.0
Название вакансии (мин. До),"Кавист (продавец-консультант вина) (Тольятти, Спортивная, 4В)"
"Стоимость ""От"" (количество)",101
"Стоимость ""До"" (количество)",100
"Стоимость ""От"" (среднее)",1183116
"Стоимость ""До"" (среднее)",1291282
"Стоимость ""От"" (стандартное отклонение)",269931
"Стоимость ""До"" (стандартное отклонение)",245537
"Стоимость ""От"" (минимум)",612000
"Стоимость ""До"" (минимум)",729000
"Стоимость ""От"" (максимум)",1571400
"Стоимость ""До"" (максимум)",1800000
Минимальная стоимость (среднее),670500
Максимальная стоимость (среднее),1591200
Средняя стоимость по всем вакансиям,1235707
Медианная стоимость по всем вакансиям,1341000
