Метрика,Значение
Количество вакансий,552
"Максимальная стоимость ""От"" (руб)",1386000.0
Название вакансии (макс. От),Бариста-кассир
"Максимальная стоимость ""До"" (руб)",1800000.0
Название вакансии (макс. До),"Кассир (Сочи, Эстосадок, Лаванда, 2)"
"Минимальная стоимость ""От"" (руб)",504000.0
Название вакансии (мин. От),"Кассир (Черкесск, Ленина, 25)"
"Минимальная стоимость ""До"" (руб)",558000.0
Название вакансии (мин. До),"Кассир (Черкесск, Ленина, 25)"
"Стоимость ""От"" (количество)",481
"Стоимость ""До"" (количество)",495
"Стоимость ""От"" (среднее)",940002
"Стоимость ""До"" (среднее)",1057566
"Стоимость ""От"" (стандартное отклонение)",171633
"Стоимость ""До"" (стандартное отклонение)",202323
"Стоимость ""От"" (минимум)",504000
"Стоимость ""До"" (минимум)",558000
"Стоимость ""От"" (максимум)",1386000
"Стоимость ""До"" (максимум)",1800000
Минимальная стоимость (среднее),531000
Максимальная стоимость (среднее),1458000
Средняя стоимость по всем вакансиям,1002028
Медианная стоимость по всем вакансиям,1017000
