Метрика,Значение
Количество вакансий,9
"Максимальная стоимость ""От"" (руб)",1422000.0
Название вакансии (макс. От),Менеджер по качеству ФРОВ
"Максимальная стоимость ""До"" (руб)",1836000
Название вакансии (макс. До),Менеджер по качеству ФРОВ
"Минимальная стоимость ""От"" (руб)",1080000.0
Название вакансии (мин. От),Менеджер по качеству и осмотру стоков
"Минимальная стоимость ""До"" (руб)",1404000
Название вакансии (мин. До),Менеджер по качеству и осмотру стоков
"Стоимость ""От"" (количество)",8
"Стоимость ""До"" (количество)",9
"Стоимость ""От"" (среднее)",1379250
"Стоимость ""До"" (среднее)",1748000
"Стоимость ""От"" (стандартное отклонение)",120915
"Стоимость ""До"" (стандартное отклонение)",175544
"Стоимость ""От"" (минимум)",1080000
"Стоимость ""До"" (минимум)",1404000
"Стоимость ""От"" (максимум)",1422000
"Стоимость ""До"" (максимум)",1836000
Минимальная стоимость (среднее),1242000
Максимальная стоимость (среднее),1629000
Средняя стоимость по всем вакансиям,1569000
Медианная стоимость по всем вакансиям,1629000
