Метрика,Значение
Количество вакансий,352
"Максимальная стоимость ""От"" (руб)",1620000.0
Название вакансии (макс. От),"Повар (Москва, Малыгина, 7)"
"Максимальная стоимость ""До"" (руб)",1800000.0
Название вакансии (макс. До),"Повар (Сочи, Гастелло, 27Б)"
"Минимальная стоимость ""От"" (руб)",594000.0
Название вакансии (мин. От),"Повар (Чебоксары, Максима Горького, 4)"
"Минимальная стоимость ""До"" (руб)",648000.0
Название вакансии (мин. До),"Повар (Чебоксары, Максима Горького, 4)"
"Стоимость ""От"" (количество)",315
"Стоимость ""До"" (количество)",314
"Стоимость ""От"" (среднее)",1040754
"Стоимость ""До"" (среднее)",1122735
"Стоимость ""От"" (стандартное отклонение)",214885
"Стоимость ""До"" (стандартное отклонение)",222246
"Стоимость ""От"" (минимум)",594000
"Стоимость ""До"" (минимум)",648000
"Стоимость ""От"" (максимум)",1620000
"Стоимость ""До"" (максимум)",1800000
Минимальная стоимость (среднее),621000
Максимальная стоимость (среднее),1710000
Средняя стоимость по всем вакансиям,1081191
Медианная стоимость по всем вакансиям,1079100
