Метрика,Значение
Количество вакансий,725
"Максимальная стоимость ""От"" (руб)",1526400.0
Название вакансии (макс. От),"Продавец/старший сотрудник супермаркета (Москва, Чертаново Северное, 1А)"
"Максимальная стоимость ""До"" (руб)",1800000.0
Название вакансии (макс. До),Продавец с проживанием в Сочи
"Минимальная стоимость ""От"" (руб)",360000.0
Название вакансии (мин. От),"Продавец (Тюмень, Мельникайте, 116)"
"Минимальная стоимость ""До"" (руб)",540000.0
Название вакансии (мин. До),"Продавец (Тюмень, Мельникайте, 116)"
"Стоимость ""От"" (количество)",724
"Стоимость ""До"" (количество)",724
"Стоимость ""От"" (среднее)",1033340
"Стоимость ""До"" (среднее)",1112775
"Стоимость ""От"" (стандартное отклонение)",205584
"Стоимость ""До"" (стандартное отклонение)",223134
"Стоимость ""От"" (минимум)",360000
"Стоимость ""До"" (минимум)",540000
"Стоимость ""От"" (максимум)",1526400
"Стоимость ""До"" (максимум)",1800000
Минимальная стоимость (среднее),450000
Максимальная стоимость (среднее),1620000
Средняя стоимость по всем вакансиям,1073058
Медианная стоимость по всем вакансиям,1076400
