Метрика,Значение
Количество вакансий,602
"Максимальная стоимость ""От"" (руб)",1503000.0
Название вакансии (макс. От),"Сборщик заказов (Москва, Скульптора Мухиной, 12)"
"Максимальная стоимость ""До"" (руб)",2160000.0
Название вакансии (макс. До),"Сборщик заказов (Зеленоград, , 900)"
"Минимальная стоимость ""От"" (руб)",360000.0
Название вакансии (мин. От),"Сборщик заказов (Тула, Лейтейзена, 18)"
"Минимальная стоимость ""До"" (руб)",513000.0
Название вакансии (мин. До),Сборщик онлайн-заказов (график выходного дня)
"Стоимость ""От"" (количество)",562
"Стоимость ""До"" (количество)",562
"Стоимость ""От"" (среднее)",1130083
"Стоимость ""До"" (среднее)",1334341
"Стоимость ""От"" (стандартное отклонение)",268790
"Стоимость ""До"" (стандартное отклонение)",301057
"Стоимость ""От"" (минимум)",360000
"Стоимость ""До"" (минимум)",513000
"Стоимость ""От"" (максимум)",1503000
"Стоимость ""До"" (максимум)",2160000
Минимальная стоимость (среднее),450000
Максимальная стоимость (среднее),1800000
Средняя стоимость по всем вакансиям,1232212
Медианная стоимость по всем вакансиям,1249200
