Метрика,Значение
Количество вакансий,204
"Максимальная стоимость ""От"" (руб)",2340000.0
Название вакансии (макс. От),Начальник смены склада
"Максимальная стоимость ""До"" (руб)",3420000.0
Название вакансии (макс. До),Начальник смены склада
"Минимальная стоимость ""От"" (руб)",1034460.0
Название вакансии (мин. От),Грузчик на склад
"Минимальная стоимость ""До"" (руб)",1008000.0
Название вакансии (мин. До),Сотрудник склада (контролёр отгрузки)
"Стоимость ""От"" (количество)",195
"Стоимость ""До"" (количество)",202
"Стоимость ""От"" (среднее)",1824639
"Стоимость ""До"" (среднее)",2943029
"Стоимость ""От"" (стандартное отклонение)",272169
"Стоимость ""До"" (стандартное отклонение)",593526
"Стоимость ""От"" (минимум)",1034460
"Стоимость ""До"" (минимум)",1008000
"Стоимость ""От"" (максимум)",2340000
"Стоимость ""До"" (максимум)",3420000
Минимальная стоимость (среднее),1008000
Максимальная стоимость (среднее),2880000
Средняя стоимость по всем вакансиям,2368788
Медианная стоимость по всем вакансиям,2520000
