Метрика,Значение
Количество вакансий,269
"Максимальная стоимость ""От"" (руб)",1170000.0
Название вакансии (макс. От),"Специалист по приемке (сотрудник супермаркета) ((Сочи, Гастелло, 27Б)"
"Максимальная стоимость ""До"" (руб)",1440000.0
Название вакансии (макс. До),"Специалист по приемке (сотрудник супермаркета) ((Сочи, Гастелло, 27Б)"
"Минимальная стоимость ""От"" (руб)",540000.0
Название вакансии (мин. От),"Специалист по приемке (сотрудник супермаркета) ((Стерлитамак, Артема, 96)"
"Минимальная стоимость ""До"" (руб)",630000.0
Название вакансии (мин. До),"Специалист по приемке (сотрудник супермаркета) ((Волгоград, им. Николая Отрады, 20г)"
"Стоимость ""От"" (количество)",231
"Стоимость ""До"" (количество)",231
"Стоимость ""От"" (среднее)",911703
"Стоимость ""До"" (среднее)",998306
"Стоимость ""От"" (стандартное отклонение)",145210
"Стоимость ""До"" (стандартное отклонение)",149783
"Стоимость ""От"" (минимум)",540000
"Стоимость ""До"" (минимум)",630000
"Стоимость ""От"" (максимум)",1170000
"Стоимость ""До"" (максимум)",1440000
Минимальная стоимость (среднее),585000
Максимальная стоимость (среднее),1305000
Средняя стоимость по всем вакансиям,955005
Медианная стоимость по всем вакансиям,970200
