ID       | Город                          | Регион                        
----------------------------------------------------------------------
10355    | 1-й Воин                       | Орловская область             
10116    | 1-я Михайловка                 | Воронежская область           
10115    | 1-я Семеновка                  | Курская область               
10591    | 2-я Гавриловка                 | Тамбовская область            
5388     | Ёнский                         | Мурманская область            
7677     | Абабково                       | Нижегородская область         
7437     | Абага                          | Республика Саха (Якутия)      
5546     | Абадзехская                    | Республика Адыгея             
1188     | Абаза                          | Республика Хакасия            
103      | Абакан                         | Республика Хакасия            
7381     | Абалаково                      | Красноярский край             
4741     | Абан                           | Красноярский край             
4970     | Абатское                       | Тюменская область             
8710     | Абганерово                     | Волгоградская область         
1564     | Абдулино                       | Оренбургская область          
8400     | Абезь                          | Республика Коми               
9403     | Абзаново                       | Республика Башкортостан       
1439     | Абинск                         | Краснодарский край            
9409     | Аблаево                        | Республика Башкортостан       
3795     | Абрамовка                      | Воронежская область           
7724     | Абрамово                       | Нижегородская область         
3303     | Абрау-Дюрсо                    | Краснодарский край            
10758    | Августовка                     | Самарская область             
3238     | Авдеевка                       | Донецкая Народная Республика  
5856     | Авдон                          | Республика Башкортостан       
8760     | Авило-Успенка                  | Ростовская область            
8256     | Авнюгский                      | Архангельская область         
5976     | Авсюнино (Московская область)  | Московская область            
144      | Автополигон (Дмитровский городской округ, Московская область) | Московская область            
5679     | Автуры                         | Чеченская республика          
11379    | Ага (Забайкальский край)       | Забайкальский край            
11380    | Ага-Хангил (Забайкальский край) | Забайкальский край            
5408     | Агалатово                      | Ленинградская область         
5778     | Агаповка                       | Челябинская область           
3876     | Агеево (Тамбовская область)    | Тамбовская область            
4034     | Агеево (Тульская область)      | Тульская область              
1348     | Агидель                        | Республика Башкортостан       
4742     | Агинское                       | Красноярский край             
216      | Агинское (Забайкальский АО)    | Забайкальский край            
4996     | Агириш                         | Ханты-Мансийский АО - Югра    
3964     | Агой                           | Краснодарский край            
6692     | Аграрное                       | Республика Крым               
6867     | Агрогородок  (Московская область) | Московская область            
3965     | Агроном (Краснодарский край)   | Краснодарский край            
10222    | Агроном (Липецкая область)     | Липецкая область              
1625     | Агрыз                          | Республика Татарстан          
6819     | Агуй-Шапсуг                    | Краснодарский край            
5506     | Адагум                         | Краснодарский край            
4245     | Адамовка                       | Оренбургская область          
11440    | Адиюх                          | Кабардино-Балкарская республика
2377     | Адлер                          | Краснодарский край            
11381    | Адриановка (Забайкальский край) | Забайкальский край            
5485     | Адыге-Хабль                    | Карачаево-Черкесская Республика
1423     | Адыгейск                       | Республика Адыгея             
4094     | Азанка                         | Свердловская область          
7419     | Азей                           | Иркутская область             
1626     | Азнакаево                      | Республика Татарстан          
1531     | Азов                           | Ростовская область            
4695     | Азово                          | Омская область                
3304     | Азовская                       | Краснодарский край            
6644     | Азовское                       | Республика Крым               
7737     | Азрапино                       | Нижегородская область         
9170     | Аитово                         | Республика Башкортостан       
7232     | Айбечи                         | Чувашская Республика          
6188     | Айкино                         | Республика Коми               
9120     | Айлино                         | Челябинская область           
3769     | Айхал                          | Республика Саха (Якутия)      
4167     | Айша                           | Республика Татарстан          
1170     | Ак-Довурак                     | Республика Тыва               
10987    | Акатная Маза                   | Саратовская область           
5713     | Акбаш (Свердловская область)   | Свердловская область          
4244     | Акбулак                        | Оренбургская область          
11470    | Аки-Юрт (Ингушетия)            | Республика Ингушетия          
3201     | Акимовка                       | Запорожская область           
7193     | Аккузово                       | Республика Татарстан          
9195     | Аксаитово                      | Республика Башкортостан       
8661     | Аксай (Волгоградская область)  | Волгоградская область         
5566     | Аксай (Дагестан)               | Республика Дагестан           
1532     | Аксай (Ростовская область)     | Ростовская область            
8974     | Аксаково                       | Республика Башкортостан       
10649    | Аксаково (Оренбургская область) | Оренбургская область          
5165     | Аксарайский                    | Астраханская область          
7266     | Аксарино                       | Чувашская Республика          
5023     | Аксарка                        | Ямало-Ненецкий АО             
10895    | Аксенкино                      | Оренбургская область          
7963     | Аксеново                       | Омская область                
9051     | Аксеново (Республика Башкортостан) | Республика Башкортостан       
11382    | Аксеново-Зиловское (Забайкальский край) | Забайкальский край            
4168     | Аксубаево                      | Республика Татарстан          
8999     | Актабан                        | Курганская область            
3658     | Актаныш                        | Республика Татарстан          
7001     | Акташ                          | Республика Алтай              
4169     | Актюбинский                    | Республика Татарстан          
5567     | Акуша                          | Республика Дагестан           
5088     | Акша (Забайкальский край)      | Забайкальский край            
10816    | Акшуат                         | Ульяновская область           
5857     | Акъяр (Хайбуллинский район, Башкортостан) | Республика Башкортостан       
10935    | Алабайтал                      | Оренбургская область          
4600     | Алабино (Московская область)   | Московская область            
7768     | Алабота                        | Омская область                
6741     | Алабуга (Челябинская область)  | Челябинская область           
1476     | Алагир                         | Республика Северная Осетия-Алания
11527    | Алаево                         | Кемеровская область           
8279     | Алакуртти                      | Мурманская область            
10736    | Аландское                      | Оренбургская область          
1262     | Алапаевск                      | Свердловская область          
1653     | Алатырь                        | Чувашская Республика          
6739     | Алачково (Московская область)  | Московская область            
10274    | Алгасово                       | Тамбовская область            
7449     | Алгатуй                        | Иркутская область             
1175     | Алдан                          | Республика Саха (Якутия)      
10474    | Алейниково                     | Белгородская область          
1218     | Алейск                         | Алтайский край                
10564    | Алейский                       | Калужская область             
6192     | Алекса́ндров Гай               | Саратовская область           
3742     | Александрийская                | Ставропольский край           
3743     | Александрия (Ставропольский край) | Ставропольский край           
4471     | Александро-Невский             | Рязанская область             
1717     | Александров                    | Владимирская область          
4246     | Александровка                  | Оренбургская область          
4565     | Александровка                  | Волгоградская область         
3239     | Александровка (Донецкая Народная Республика) | Донецкая Народная Республика  
11255    | Александровка (Московская область) | Московская область            
4492     | Александровка (Ростовская область) | Ростовская область            
10599    | Александровка Донская          | Воронежская область           
3628     | Александровск (Луганская Народная Республика) | Луганская Народная Республика 
1318     | Александровск (Пермский край)  | Пермский край                 
1961     | Александровск-Сахалинский      | Сахалинская область           
9547     | Александровская (Кабардино-Балкарская республика) | Кабардино-Балкарская республика
5507     | Александровская (Краснодарский край) | Краснодарский край            
9520     | Александровский                | Краснодарский край            
5089     | Александровский Завод          | Забайкальский край            
8068     | Александровское (Омская область) | Омская область                
3059     | Александровское (Ставропольский край) | Ставропольский край           
4663     | Александровское (Томская область) | Томская область               
9468     | Алексее-Тенгинская             | Краснодарский край            
1818     | Алексеевка                     | Белгородская область          
6858     | Алексеевка (Ростовская область) | Ростовская область            
3039     | Алексеевка (Самарская область) | Самарская область             
5858     | Алексеевка (Уфимский район, Башкортостан) | Республика Башкортостан       
8768     | Алексеево-Лозовское            | Ростовская область            
4854     | Алексеевск                     | Иркутская область             
4566     | Алексеевская                   | Волгоградская область         
5508     | Алексеевская (Краснодарский край) | Краснодарский край            
6829     | Алексеевский                   | Краснодарский край            
2695     | Алексеевское                   | Республика Татарстан          
1914     | Алексин                        | Тульская область              
11383    | Алеур (Забайкальский край)     | Забайкальский край            
8437     | Алеховщина                     | Ленинградская область         
1125     | Алзамай                        | Иркутская область             
5486     | Али-Бердуковский               | Карачаево-Черкесская Республика
5619     | Али-Юрт                        | Республика Ингушетия          
4216     | Аликово                        | Чувашская Республика          
5859     | Алкино-2                       | Республика Башкортостан       
11471    | Алкун (Ингушетия)              | Республика Ингушетия          
8030     | Аллак                          | Алтайский край                
5680     | Аллерой (Курчалоевский район)  | Чеченская республика          
3629     | Алмазная                       | Луганская Народная Республика 
6910     | Алмазный                       | Республика Саха (Якутия)      
7226     | Алманчиково                    | Чувашская Республика          
4192     | Алнаши                         | Удмуртская Республика         
8190     | Алпатьево (Московская область) | Московская область            
8943     | Алтай (Ханты-Мансийский АО - Югра) | Ханты-Мансийский АО - Югра    
4892     | Алтайское                      | Алтайский край                
5462     | Алтуд                          | Кабардино-Балкарская республика
5931     | Алтухово (Брянская область)    | Брянская область              
7093     | Алтышево                       | Чувашская Республика          
2698     | Алупка                         | Республика Крым               
2381     | Алушта                         | Республика Крым               
